iter	Logloss
0	0.6276139786
1	0.5730176897
2	0.5166361795
3	0.4804109032
4	0.4493782271
5	0.428276546
6	0.4040299031
7	0.3884327447
8	0.3685793236
9	0.356450152
10	0.3450520074
11	0.3281887111
12	0.3216901751
13	0.3147986967
14	0.3095691453
15	0.3011090862
16	0.2946921391
17	0.2845168897
18	0.2842450782
19	0.2781755817
20	0.2759253943
21	0.2678172553
22	0.2640047785
23	0.2597469216
24	0.2525961292
25	0.2487927053
26	0.2443892636
27	0.2381357506
28	0.2373190068
29	0.2343841524
30	0.2314305377
31	0.2276293484
32	0.2235629096
33	0.2210050981
34	0.2192724285
35	0.2151020392
36	0.212310848
37	0.2078544844
38	0.2052096751
39	0.2038672148
40	0.2015026719
41	0.1956678931
42	0.1952148124
43	0.1941500137
44	0.192267546
45	0.1919837781
46	0.1911246314
47	0.1864027621
48	0.1862020635
49	0.184220556
50	0.1792937321
51	0.1782670946
52	0.1754868066
53	0.1709394313
54	0.1669201637
55	0.1644508305
56	0.1589816933
57	0.1571056736
58	0.1548951277
59	0.152604402
60	0.1491641714
61	0.1448028621
62	0.1434087611
63	0.1390601486
64	0.1369665915
65	0.1348624443
66	0.1312196504
67	0.1263351867
68	0.1221133275
69	0.118921408
70	0.1181287054
71	0.1149709189
72	0.1123778784
73	0.1102643867
74	0.1085620994
75	0.1074670108
76	0.1057176376
77	0.1044457848
78	0.1031156654
79	0.1003821715
80	0.09768979941
81	0.09543119971
82	0.09352886143
83	0.09103453337
84	0.08894222886
85	0.08584543484
86	0.08417728054
87	0.08306649906
88	0.08094699347
89	0.0798701813
90	0.07750227914
91	0.07661847926
92	0.07519269345
93	0.07318439768
94	0.0717012562
95	0.06941112831
96	0.06873238976
97	0.06682348963
98	0.06592829548
99	0.06534802736
100	0.06466163094
101	0.06294281091
102	0.06213245107
103	0.06159722627
104	0.06119048418
105	0.06075228506
106	0.06034855344
107	0.05886424477
108	0.0584731529
109	0.05727153038
110	0.0566270387
111	0.05630557217
112	0.05544025507
113	0.0545057859
114	0.05319405314
115	0.05188749441
116	0.05075688149
117	0.04980079452
118	0.04901486012
119	0.04852502737
120	0.04762126439
121	0.0468967637
122	0.04644109954
123	0.04618241182
124	0.04572807853
125	0.04500512223
126	0.04463269817
127	0.0438182176
128	0.04231469311
129	0.04198191415
130	0.04125672668
131	0.04091631477
132	0.040726103
133	0.04022892909
134	0.03977840338
135	0.03915293181
136	0.03866246209
137	0.03816773998
138	0.03742048989
139	0.03679114313
140	0.03617152883
141	0.03580644237
142	0.03524620142
143	0.03484405688
144	0.03434095098
145	0.0339997989
146	0.03351282006
147	0.0329497679
148	0.03246770688
149	0.03220828611
150	0.03176199856
151	0.0313986095
152	0.03096336393
153	0.0306168848
154	0.0301901191
155	0.02976213818
156	0.02950046667
157	0.02929926274
158	0.02900793659
159	0.0287807913
160	0.0282605068
161	0.02786050626
162	0.02760680042
163	0.02720183223
164	0.026751488
165	0.02643491261
166	0.02614397789
167	0.02559469707
168	0.02534061759
169	0.02515259785
170	0.02487843962
171	0.02463491105
172	0.02431796558
173	0.0240932187
174	0.02387728264
175	0.02361895433
176	0.02321208947
177	0.02292821301
178	0.02276974294
179	0.02266855738
180	0.02250568546
181	0.02224359228
182	0.02184139081
183	0.02165978702
184	0.02154371632
185	0.02140092494
186	0.02120173333
187	0.02111095279
188	0.02099267582
189	0.02092889885
190	0.0206679088
191	0.02049688439
192	0.02036160498
193	0.02023414889
194	0.02002461633
195	0.01980323222
196	0.01964763029
197	0.01949157288
198	0.01929551808
199	0.0191941973
200	0.01890043536
201	0.01876545664
202	0.01859855296
203	0.01849538889
204	0.01833373753
205	0.01816563108
206	0.01794639274
207	0.01775517748
208	0.01761092535
209	0.0174980128
210	0.01731934654
211	0.01722588468
212	0.01707509382
213	0.01694972124
214	0.01681401836
215	0.0167275169
216	0.01660318517
217	0.01635858194
218	0.01622798194
219	0.01601756153
220	0.0159602699
221	0.01577515389
222	0.01569020392
223	0.01562716
224	0.01551843401
225	0.01541896543
226	0.01533597619
227	0.01526123196
228	0.01520078396
229	0.01508046798
230	0.0149850614
231	0.01488992883
232	0.01483545819
233	0.01477925101
234	0.01457715835
235	0.01446392109
236	0.01432774138
237	0.01426308813
238	0.01418981178
239	0.01407993907
240	0.01401278332
241	0.01394475752
242	0.013817176
243	0.01369946839
244	0.01360553058
245	0.01344386143
246	0.01334039934
247	0.01323532702
248	0.01316739196
249	0.01309641973
250	0.01302253221
251	0.01294886977
252	0.01287076722
253	0.01276838602
254	0.01272533723
255	0.01268457299
256	0.012652342
257	0.01257492713
258	0.01246845366
259	0.01241295373
260	0.01237663582
261	0.01234218078
262	0.0122723873
263	0.01223850606
264	0.01218154003
265	0.01214040838
266	0.01209532503
267	0.01200248412
268	0.01197019353
269	0.01188987405
270	0.01185110612
271	0.0117954425
272	0.011742357
273	0.01165962753
274	0.01164292755
275	0.01156360445
276	0.01147399376
277	0.01144301624
278	0.0113622822
279	0.01125492267
280	0.01119527977
281	0.01114106178
282	0.01108183968
283	0.01102705144
284	0.01095609345
285	0.01083973006
286	0.01077713361
287	0.01072595724
288	0.0106694387
289	0.01063273024
290	0.0105312689
291	0.01049715369
292	0.01045225983
293	0.01040255134
294	0.01033840606
295	0.0102352927
296	0.01017965399
297	0.01012694658
298	0.01005704545
299	0.01001043996
